38941	9971	5
10138	3454	5
15232	4450	3
18430	3081	4
5938	2657	2
6303	2973	3
22192	4577	3
1809	5539	5
10513	5240	3
9314	2051	3
6602	2275	3
2943	1972	3
15088	1666	3
19730	4353	4
6450	2222	3
18288	2415	3
11610	3546	3
2064	5066	3
6049	7585	2
20126	9530	1
833	3258	2
202	1470	3
5013	2768	3
18667	2899	3
2745	7692	3
2351	2695	3
9248	4910	3
198	1730	5
482	2648	5
5921	3380	4
19140	2197	3
954	2435	1
9954	2313	3
2479	3539	4
507	4609	2
3208	4992	3
9529	2251	5
29322	5278	3
6793	4548	3
1168	2229	3
24389	3019	3
10107	1491	4
295	2908	1
38942	9977	5
2583	7484	2
1548	5870	1
26852	2958	3
17935	2535	3
17772	2406	3
2568	2899	3
750	4764	3
2776	1391	3
1774	6155	5
3481	3174	3
30292	4790	1
13442	3045	3
4536	1672	5
7477	1869	3
85	5220	2
17887	3732	5
950	9803	1
2922	3228	1
4540	2302	4
1238	9201	2
27493	2904	1
596	61	3
10851	6938	5
38328	7348	3
2526	5046	3
2946	1774	3
14017	3081	3
4880	5018	3
13896	1572	3
12169	1528	1
9419	2229	3
10341	2916	3
11055	7531	3
14491	1748	4
13649	3357	1
12562	3011	3
15452	1861	3
10326	1907	3
10016	1640	4
5340	3003	3
3	5476	3
26926	2770	5
37719	6438	5
3461	2523	3
418	9881	1
5102	1486	3
3691	5240	4
32693	5308	2
17179	3164	3
13355	1974	3
11066	1476	4
3457	5169	3
1235	8064	4
9847	2774	3
14967	2316	3
4704	1573	3
6000	3361	3
3094	4327	3
575	5337	3
6728	3007	3
12095	2543	3
16186	4049	3
24077	3262	3
7984	5348	5
1052	228	4
2378	2461	3
3267	2513	3
5603	4553	3
11734	1747	3
4815	7640	3
7530	3243	3
24374	5460	3
5027	5284	3
21687	2106	3
17154	4466	3
1909	3113	3
211	4885	5
418	2724	2
3673	2770	3
16491	2996	3
32027	3205	3
12452	2163	4
15247	3069	3
7297	7037	2
540	2072	4
3886	3057	3
18432	1842	1
10770	2942	3
17564	1915	1
6239	1457	3
5657	4548	3
35153	5078	1
33632	4271	4
15	5255	3
810	3004	3
8550	2097	3
8103	2275	3
34251	4577	3
16457	4383	1
5515	4885	4
5946	1762	2
32631	4332	3
15231	4353	3
5766	2299	3
28548	3047	3
26972	3286	3
7356	4983	5
6373	3166	3
430	5102	1
24877	4502	3
7396	3444	3
4426	3069	3
5806	1436	4
1939	1755	3
19669	2072	5
29490	3009	3
16374	3524	2
29265	4585	3
10904	3081	3
5384	3335	1
499	4966	3
7583	1971	2
20864	1995	4
2873	3495	3
8605	1644	3
5008	3223	3
108	7672	2
5374	5340	3
19463	2720	3
10806	2935	5
12511	1916	3
22727	3336	5
18223	2251	3
5376	3343	3
10471	1865	3
7746	1916	3
5374	4327	3
2878	2495	1
6752	2966	3
9138	2965	3
15093	3293	5
273	1924	1
792	4918	3
490	3298	3
1979	2720	4
28856	3265	4
9856	1484	3
4229	2840	5
9336	1691	3
7112	4514	4
2487	2695	3
2103	1448	3
5619	2320	5
10920	3019	3
2547	1446	3
9279	2322	3
4581	5287	3
3311	2203	5
2514	7203	3
2159	4785	5
181	3804	2
392	3229	3
6476	4738	3
16899	3022	4
2500	2655	3
1237	9741	4
2952	1981	2
2792	2450	3
20103	1878	3
33658	4065	3
6971	4646	4
24077	3251	3
9285	3800	1
6945	1642	3
3810	2916	3
8151	3914	3
19	73	3
2384	2210	3
3540	2490	3
38	4252	1
650	3742	5
15328	3275	4
13665	5592	3
204	4	2
4920	1573	4
7924	1705	3
7394	4916	4
4814	1718	3
29452	7563	2
16705	3954	1
13531	1660	3
3238	1640	4
35224	5242	3
1617	1438	5
3695	2069	3
3835	1764	3
4420	2737	3
26105	2978	3
4448	3380	3
2403	2198	3
6997	1485	2
30859	5281	1
2998	7608	3
37023	5274	2
949	5497	5
12206	1640	4
8490	3380	3
8624	2184	3
3960	7205	3
7862	3102	3
7235	2762	3
9213	1750	3
10152	7205	3
5740	1487	3
86	3629	2
18553	2203	3
2058	2939	3
7629	1504	3
12947	1509	1
172	7680	3
32399	4999	3
9082	5476	5
7790	2899	3
35099	4638	3
3	4938	3
8048	3082	2
15535	3181	5
10096	1516	3
1279	2735	1
3358	1409	3
27497	3544	1
5329	2288	3
5515	4300	5
4705	4450	3
5725	2955	3
4992	2739	1
2129	4905	3
9449	4449	5
1992	1916	4
8609	3118	3
2269	1595	3
